"title","url","image","type","priority","home","home_image","lat","lon"
"Gualba","https://participa311-gualba.diba.cat/","/uploads/logo_aj_gualba.png","city","50","","","",""
"Génération","https://agora.generation-s.fr/users/sign_in","/uploads/logo_agora_generations.png","org","50","","","",""
"Hackovid","https://web.archive.org/web/20210418164530/https://hackovid.cat/","/uploads/logo_hackovid.png","org","50","","","",""
"Hamamatsu","https://hamamatsu.makeour.city/","/uploads/logo_hamamatsu.png","org","50","","","",""
"Helsingborg","https://web.archive.org/web/20210116154821/https://tryggareplatser.helsingborg.se/","/uploads/logo_aj_helsingborg.png","city","50","","","",""
"Helsinki - Nuorten bujetti","https://nuortenbudjetti.hel.fi/","/uploads/logo_helsinki_nuorten_budjetti.png","city","50","","","",""
"Helsinki","https://omastadi.hel.fi/","/uploads/logo_aj_helsinki.png","city","98","true","/uploads/logo_aj_helsinki_red.png","",""
"Her Decidim","https://her.decidim.gr/","/uploads/new-symbiosis-symbiosis.png","org","50","","","",""
"Asociación Cultural Heuristica","https://heuristica.participa.cloud/","/uploads/logo_heuristica.png","org","50","","","",""
"IMT - Institut Mines-Télécom","https://participons.imt.fr/","/uploads/logo_imt.webp","org","50","","","",""
"inDICEs","https://participate.indices-culture.eu/","/uploads/logo_indices.png","org","50","","","",""
"Infermeres de Catalunya","https://web.archive.org/web/20220126143109/https://decidim.infermeresdecatalunya.cat/","/uploads/logo_infermeresdecatalunya.png","org","50","","","",""
"Innovation Yokohama","https://meta.diycities.jp/assemblies/hereandthere/f/405/proposals/390","/uploads/logo_innovation_yokohama.png","city","50","","","",""
"Inochi Forum","https://inochi-forum.makeour.city/","/uploads/logo_inochiforum.png","org","50","","","",""
"INS Camí de Mar","https://web.archive.org/web/20220630155403/http://camidelmar.demo.decidim.coditramuntana.com/","/uploads/logo_inscamidemar.jpg","org","50","","","",""
"INSPIRE","https://participate.inspiredemocracy.eu/","/uploads/logo_inspire.avif","org","50","","","",""
"Institut Bosc de Montjuïc","https://decidim.insboscmontjuic.com/","/uploads/logo_insboscmontjuic.png","org","50","","","",""
"Institut Caterina Albert","https://decidim.inscaterinaalbert.cat/","/uploads/logo_inscaterinaalbert.png","org","50","","","",""
"Institut de Drets Humans de Catalunya","https://agoradedrets.idhc.org/","/uploads/logo_idhc.svg","org","50","","","",""
"Institut Municipal de Persones amb Discapacitat ","https://web.archive.org/web/20220425210504/http://impd.decidim.barcelona/","/uploads/logo_impd.png","org","50","","","",""
" Interreg Northern Periphery and Arctic","https://web.archive.org/web/20230325150541/https://omaidea.fi/","/uploads/logo_interreg.svg","org","50","","","",""
"investigaDUS - Secretaría de Educiación Superior, Ciencia, Tecnología e Innovación - República del Ecuador","https://web.archive.org/web/20220708132858/https://investigadus.senescyt.gob.ec/","/uploads/logo_senescyt.jpg","org","50","","","",""
"IOPD - International Observatory on Participatory Democracy","https://participate.oidp.net/","/uploads/logo_OIDP.png","org","50","","","",""
"Iridia","https://participa.iridia.cat/","/uploads/logo_iridia.png","org","50","","","",""
"Jaen","https://participa.aytojaen.es","/uploads/logo_aj_jaen.jpg","city","50","","","",""
"JamiiHub","https://nca.voca.city/","/uploads/logo_jamii_hub_decidim_voca_nca_5.png","org","50","","","-6.4017586","35.4498536"
"Jimin Yokohama","https://web.archive.org/web/20221201085946/https://jiminyokohama.decidim.jp/","/uploads/logo_jiminyokohama.png","org","50","","","",""
"JT Manifesto - Clean Clothes Campaign","https://manifesto.cleanclothes.org/","/uploads/hifp2dv3cnmfjrhdgcugoea8y88j.png","org","50","","","",""
"Kakawa University","https://meta.diycities.jp/assemblies/hereandthere/f/405/proposals/392","/uploads/logo_kagawa_university.png","org","50","","","",""
"Kakogawa","https://kakogawa.diycities.jp/","/uploads/logo_aj_kakogawa.png","city","90","true","/uploads/logo_aj_kakogawa_red.png","",""
"Kamaishi","https://kamaishi.makeour.city/","/uploads/logo_aj_kamaishi.png","city","50","","","",""
"Kawanishi","https://web.archive.org/web/20230130132258/https://kawanishi.mygroove.city/","/uploads/logo_kawanishimi.png","city","50","","","",""
